city,country,latitude,longitude,temp,temp_min,temp_max,humidity,time_zone,weather,cloud_coverage,wind_speed
Saint-Philippe,RE,-21.36,55.77,70.66,63.0,75.2,69,14400,overcast clouds,90,6.93
Presidencia Roque Sáenz Peña,AR,-26.79,-60.44,79.0,79.0,79.0,67,-10800,clear sky,0,1.99
La Ronge,CA,55.1,-105.28,-5.8,-5.8,-5.8,83,-21600,overcast clouds,99,2.24
Chincholi,IN,17.47,77.43,64.47,64.47,64.47,87,19800,broken clouds,77,3.38
Busselton,AU,-33.65,115.33,67.23,66.0,68.0,61,28800,clear sky,0,1.01
Boca del Monte,MX,19.15,-96.82,71.82,71.6,72.0,68,-21600,light rain,40,23.04
Phan Thiet,VN,10.93,108.1,78.46,78.46,78.46,76,25200,overcast clouds,94,5.41
Rikitea,PF,-23.12,-134.97,77.61,77.61,77.61,73,-32400,clear sky,0,10.69
Cherskiy,RU,68.75,161.3,-22.16,-22.16,-22.16,87,39600,overcast clouds,94,4.45
Guane,CU,22.2,-84.09,73.45,73.45,73.45,88,-18000,few clouds,21,1.05
Otofuke,JP,42.99,143.2,23.0,23.0,23.0,53,32400,few clouds,20,2.24
Tizimín,MX,21.15,-88.15,71.19,71.19,71.19,95,-21600,clear sky,1,5.41
Pevek,RU,69.7,170.31,10.02,10.02,10.02,91,43200,overcast clouds,97,5.08
Kavieng,PG,-2.57,150.8,86.11,86.11,86.11,66,36000,overcast clouds,100,6.58
Derzhavīnsk,KZ,51.1,66.32,5.02,5.02,5.02,89,21600,overcast clouds,100,10.42
Mataura,NZ,-46.19,168.86,59.0,59.0,59.0,63,46800,few clouds,22,5.99
Gbarnga,LR,7.0,-9.47,72.41,72.41,72.41,97,0,overcast clouds,100,1.79
Ushuaia,AR,-54.8,-68.3,44.6,44.6,44.6,81,-10800,shower rain,40,26.4
Ilulissat,GL,69.22,-51.1,17.6,17.6,17.6,57,-10800,scattered clouds,45,4.7
Linhares,BR,-19.39,-40.07,71.69,71.69,71.69,91,-10800,scattered clouds,46,3.22
Bredasdorp,ZA,-34.53,20.04,64.4,64.4,64.4,77,7200,overcast clouds,100,1.12
Nebug,RU,44.17,39.0,38.28,38.28,38.28,80,10800,clear sky,4,13.22
Punta Arenas,CL,-53.15,-70.92,48.09,48.0,48.2,70,-10800,overcast clouds,100,28.86
Ürümqi,CN,43.8,87.6,-2.2,-2.2,-2.2,84,28800,light snow,90,2.24
Anshun,CN,26.25,105.93,29.17,29.17,29.17,86,28800,overcast clouds,100,9.42
Lohja,FI,60.25,24.07,36.64,36.0,37.0,99,7200,overcast clouds,99,8.99
Broken Hill,AU,-31.95,141.43,80.6,80.6,80.6,42,37800,clear sky,4,17.22
Albany,US,42.6,-73.97,17.74,15.8,19.0,66,-18000,light snow,90,9.17
Marabba,SD,12.35,32.18,69.42,69.42,69.42,23,7200,clear sky,0,13.6
Rawson,AR,-43.3,-65.1,67.75,67.75,67.75,29,-10800,few clouds,13,23.6
Hithadhoo,MV,-0.6,73.08,81.75,81.75,81.75,71,18000,few clouds,16,9.73
Comodoro Rivadavia,AR,-45.87,-67.5,77.0,77.0,77.0,25,-10800,clear sky,0,13.87
Lorengau,PG,-2.02,147.27,86.74,86.74,86.74,67,36000,overcast clouds,100,6.33
Lázaro Cárdenas,MX,17.96,-102.2,75.11,75.11,75.11,77,-21600,clear sky,0,3.65
Sitka,US,57.05,-135.33,41.0,41.0,41.0,75,-32400,broken clouds,75,9.17
Lebu,CL,-37.62,-73.65,54.1,54.1,54.1,79,-10800,few clouds,15,18.88
Fort Nelson,CA,58.81,-122.7,-5.8,-5.8,-5.8,83,-25200,light snow,90,9.17
Pangnirtung,CA,66.15,-65.71,-6.65,-6.65,-6.65,83,-18000,overcast clouds,99,3.6
Kaseda-shirakame,JP,31.42,130.32,35.29,35.01,35.6,64,32400,few clouds,20,8.05
Buraidah,SA,26.33,43.98,59.0,59.0,59.0,93,10800,scattered clouds,40,9.17
Hermanus,ZA,-34.42,19.23,63.0,63.0,63.0,87,7200,overcast clouds,100,1.43
Hobart,AU,-42.88,147.33,57.49,57.0,57.99,87,39600,overcast clouds,90,9.17
Jamestown,US,42.1,-79.24,24.22,23.0,25.0,92,-18000,light snow,90,5.82
Igrim,RU,63.19,64.42,12.43,12.43,12.43,93,18000,broken clouds,67,9.24
Bāneh,IR,36.0,45.89,39.31,39.31,39.31,85,12600,overcast clouds,95,0.49
Ribeira Grande,PT,38.52,-28.7,63.97,63.97,63.97,88,-3600,overcast clouds,100,23.22
Richards Bay,ZA,-28.78,32.04,66.96,66.96,66.96,85,7200,scattered clouds,31,4.12
Narsaq,GL,60.92,-46.05,41.0,41.0,41.0,35,-10800,overcast clouds,100,41.38
At-Bashi,KG,41.17,75.81,-1.8,-1.8,-1.8,72,21600,clear sky,0,1.14
Kiunga,PG,-6.12,141.29,77.97,77.97,77.97,91,36000,overcast clouds,100,2.44
San Patricio,US,28.02,-97.52,49.89,48.0,51.8,40,-21600,clear sky,1,5.82
Hilo,US,19.73,-155.09,73.33,71.01,75.2,83,-36000,moderate rain,75,6.93
Isangel,VU,-19.55,169.27,86.0,86.0,86.0,58,39600,broken clouds,75,6.93
Ostrovnoy,RU,68.05,39.51,25.83,25.83,25.83,93,10800,overcast clouds,87,7.36
Galway,IE,53.27,-9.05,44.49,42.8,46.99,87,0,few clouds,20,6.93
Nichinan,JP,31.6,131.37,41.0,41.0,41.0,44,32400,few clouds,20,11.41
Awjilah,LY,29.11,21.29,52.41,52.41,52.41,82,7200,clear sky,0,5.03
Cape Town,ZA,-33.93,18.42,63.75,62.01,66.0,82,7200,few clouds,20,14.99
Mapimí,MX,25.82,-103.85,60.8,60.8,60.8,25,-21600,clear sky,5,3.36
Fairbanks,US,64.84,-147.72,-4.09,-7.01,-0.4,49,-32400,broken clouds,75,11.41
Zelenoborskiy,RU,66.84,32.36,15.01,15.01,15.01,91,10800,clear sky,0,9.06
São Félix do Xingu,BR,-6.64,-51.99,75.11,75.11,75.11,82,-10800,heavy intensity rain,100,1.72
Vaini,TO,-21.2,-175.2,80.6,80.6,80.6,74,46800,broken clouds,75,9.17
Hasaki,JP,35.73,140.83,41.07,39.2,43.0,48,32400,few clouds,20,5.82
Vardø,NO,70.37,31.11,27.19,27.19,27.19,88,3600,overcast clouds,98,16.26
Cabo San Lucas,MX,22.89,-109.91,70.43,68.0,71.6,53,-25200,clear sky,5,9.17
Yellowknife,CA,62.46,-114.35,-40.0,-40.0,-40.0,65,-25200,few clouds,20,4.7
Killybegs,IE,54.63,-8.45,45.0,45.0,45.0,96,0,broken clouds,60,5.99
Kastamonu Province,TR,41.5,33.67,37.67,37.67,37.67,88,10800,overcast clouds,99,1.16
Santa Fe,AR,-31.63,-60.7,72.0,72.0,72.0,53,-10800,clear sky,0,7.58
Altay,CN,47.87,88.12,5.99,5.99,5.99,78,28800,overcast clouds,100,0.74
Carnarvon,AU,-24.87,113.63,73.4,73.4,73.4,78,28800,overcast clouds,90,25.28
Oussouye,SN,12.48,-16.55,72.48,71.6,73.4,88,0,clear sky,0,2.24
Harrismith,ZA,-28.27,29.13,56.34,56.34,56.34,94,7200,broken clouds,54,1.36
Mount Gambier,AU,-37.83,140.77,60.8,60.8,60.8,87,37800,overcast clouds,90,14.99
Chui,UY,-33.7,-53.46,62.83,62.83,62.83,90,-10800,clear sky,0,7.92
Itarema,BR,-2.92,-39.92,79.95,79.95,79.95,80,-10800,overcast clouds,100,12.24
Vila Velha,BR,-20.33,-40.29,76.46,75.99,77.0,83,-10800,clear sky,0,13.87
